date,open,high,low,close,adjClose,volume
2022-12-09,4134.000000,4167.000000,4118.500000,4125.500000,4016.933350,6803533
2022-12-12,4121.000000,4150.500000,4114.000000,4122.000000,4013.525146,6527176
2022-12-13,4135.500000,4136.000000,4087.500000,4105.500000,3997.459473,3628282
2022-12-14,4100.000000,4159.500000,4085.500000,4150.500000,4041.275391,4486405
2022-12-15,4141.000000,4155.500000,4114.000000,4137.000000,4028.130615,4085263
2022-12-16,4137.500000,4173.000000,4073.000000,4141.000000,4032.025635,9522237
2022-12-19,4146.000000,4173.500000,4136.000000,4173.500000,4063.669922,3862211
2022-12-20,4165.000000,4180.500000,4147.500000,4156.500000,4047.117432,5470519
2022-12-21,4166.000000,4225.000000,4153.500000,4225.000000,4113.814453,2616741
2022-12-22,4223.000000,4249.500000,4209.000000,4213.000000,4102.130859,3633893
2022-12-23,4223.500000,4229.500000,4200.500000,4214.000000,4103.104492,896511
2022-12-28,4236.500000,4248.000000,4197.000000,4205.500000,4094.827637,1963300
2022-12-29,4199.000000,4212.500000,4160.000000,4202.000000,4091.419922,2344222
2022-12-30,4183.000000,4201.200195,4174.500000,4182.000000,4071.946045,3154849
2023-01-03,4159.000000,4206.500000,4144.500000,4193.500000,4083.143799,5548910
2023-01-04,4198.000000,4248.000000,4198.000000,4227.000000,4115.761719,2689606
2023-01-05,4212.000000,4235.000000,4179.500000,4201.000000,4090.446289,2898487
2023-01-06,4213.500000,4220.500000,4187.600098,4201.500000,4090.933105,2947334
2023-01-09,4202.000000,4202.000000,4153.500000,4195.000000,4084.604248,5403367
2023-01-10,4195.000000,4213.000000,4173.000000,4198.000000,4087.525391,5797050
2023-01-11,4190.500000,4229.500000,4180.000000,4190.500000,4080.222900,4434120
2023-01-12,4204.000000,4219.299805,4154.000000,4185.000000,4074.867920,2967973
2023-01-13,4197.500000,4233.000000,4184.500000,4215.500000,4104.564941,2805084
2023-01-16,4219.000000,4238.500000,4205.500000,4230.000000,4118.683105,2514334
2023-01-17,4182.500000,4200.000000,4154.000000,4165.500000,4055.880859,4060199
2023-01-18,4159.500000,4166.000000,4087.500000,4095.000000,3987.235840,4991091
2023-01-19,4101.000000,4138.500000,4053.000000,4091.500000,3983.828125,6022815
2023-01-20,4078.000000,4104.000000,4050.000000,4089.500000,3981.880615,4280164
2023-01-23,4106.000000,4123.500000,4096.500000,4105.500000,3997.459473,4248023
2023-01-24,4109.500000,4115.000000,4073.500000,4099.500000,3991.617432,7395572
2023-01-25,4111.000000,4118.000000,4047.500000,4060.500000,3953.643799,3447400
2023-01-26,4084.500000,4094.000000,4023.500000,4043.500000,3937.091309,3119827
2023-01-27,4044.000000,4059.000000,4010.750977,4021.000000,3915.183350,3015526
2023-01-30,4029.500000,4075.000000,4023.704102,4072.000000,3964.841309,4712871
